listing_id,year,make,model,trim,title,description,photo_url,price_aed,mileage_km,body_type,transmission,fuel_type
34,2023,mercedes-benz,c-class,c43 amg,"2023 - C43 STATION AMG - IMMACULATE CONDITION - ONLY 4,000 KM DONE","Very Clean Mercedes Benz C43 STATION AMG •Only 4,000Km •Year 2023 •Trade In Option Available •Guarantee , Clean Title and No Accident •Well Maintained •SILVER Color •Both the Interior And Exterior Is Clean •Fully Automatic •Audio Control On The Steering Wheel •Climate Control •Fog Lamps And A Lot More... •Car Reference : CP Why Car Point FZE ? *Over 100 luxury Japanese Imported cars at the most competitive prices *More than 3,000 happy customers worldwide *We have a team of friendly, multilingual and professional sales executives *Convenient financing options *Value for your money *Peace of mind is guaranteed ___________________________________ Find Us on Google Maps ( Copy Link and Paste on Ur Browser ) http://bit.ly/38F01AR Or Search Car Point FZE on Google Maps For more details feel free to contact us at: Show Phone Number Show Phone Number FOLLOW US ON INSTAGRAM https://www.instagram.com/carpointfze/ ___________________________________ Why Japan Imported Cars • Higher Version Used Cars • Low Depreciation • Most Reliable • More Eco-Friendly • Easy Maintenance • Availability Spare Parts • Low Mileage Considering Local Used Cars ___________________________________ Our Service • RTA Registration Assistance • Insurance Service • After Sales Service • Export To any Country. • Delivery of Car any Where in U.A.E ____________________________________ Address: Car Point FZE Show Room Number 345 Dubai Auto Zone Ras Al Khor Dubai. Opening Times: Saturday to Thursday 09:00am-8:00pm. Friday 02:00pm-8:00pm ___________________________________ The Car Point FZE , offering the largest stock of pre-owned Japanese Imported Cars , has proven itself over the years as a force to be reckoned with in the Dubai market. The outstanding quality of our products and customer serv",https://dbz-images.dubizzle.com/images/2024/11/20/57bd2efb5c5a41e08944b2949e958d41-.jpeg?impolicy=dpv,,4000.0,,automatic,
35,2017,mini,cooper,s,ميني كوبر 2017 S,.,https://dbz-images.dubizzle.com/images/2024/12/04/79361b583f854d6cb6e191681ba566e7-.jpeg?impolicy=dpv,,,,,
36,2020,mercedes-benz,g-class,other,"MERCEDES G63 URBAN, 2020, FULL OPTIONS, EXCELLENT CONDITION","MERCEDES G63 URBAN, 2020, FULL OPTIONS, EXCELLENT CONDITION",https://dbz-images.dubizzle.com/images/2022/10/19/dcb4eyzhbsxi3-DUBIZZLE.jpeg?impolicy=dpv,,,,,
37,2019,chevrolet,camaro,other,"2019 V6 Original Chassis condition ( No Repair), New Tires, 2 Keys.",Chassis number: 1G1FB3DS5K0128165 Excellent condition Regularly serviced New tires 2 keys,https://dbz-images.dubizzle.com/images/2023/10/14/2ff3fea8f5e8470b892bd24ddd4eb850-.jpeg?impolicy=dpv,,,,,
38,2022,ferrari,sf90 spider,other,2022 Ferrari SF90 Spider Assetto Fiorano Package,2022 Ferrari Sf90 Spider Assetto Fiorano Package Exterior: - Finished in Giallo Triplo Strato (Triple Layer Yellow) - Two-Tone Body Work (Upper Part in Black) - Scuderia Ferrari Sheilds - Black Tailpipes Tips Exterior Carbon Details: - Front Spoiler in Carbon Fibre - Side Air Splitter in Carbon Fibre - Rear Diffuser in Carbon Fibre - Under Door Cover in Carbon Fibre Wheels: - Carbon fibre Wheels - Yellow Brake Callipers - Wheel Stud Bolts in Titanium Interior: - Finished in Nero (Black) Leather & Alcantara Interior with Giallo (Yellow) Stitching - Central Part of Seats in Alcantara - Inner Details in Colored Alcantara - Carbon Fibre Racing Seats - Racing Seat Lifter - Carbon Fibre Driver Zone + LED’s - Carbon Fibre Instrument Cover - Carbon Fibre Rear Shelf - Upper Part of Centre Console in Carbon Fibre - Dash Inserts in Carbon Fibre - Colored Saftey Belts in Yellow - Cavallino Stitched on Headrests Equipments: - Fiorano Package - Extended Fiorano Package - ADAS Full Pack - Surround View - Front and Rear Parking Sensors Technical specification: - 4.0L V8 Twin-Turbocharged Engine + eMotor - 8 Speed Dual-Clutch Automatic Transmission - 986 Horsepower comb. - 800 N.M of Torque - All-Wheel Drive - 0 to 100 KM/H approximately 2.5 s - Top Speed 340 KM/H For any inquiry Contact us 800 F1RST (31778) (FMC-10955),https://dbz-images.dubizzle.com/images/2023/11/27/1955379c4c6d47e980b6af86aa79f09a-.jpeg?imwidth=800,,,,automatic,
39,2015,maserati,ghibli,s,AMAZING BLUE COLOR MASERATI GHIBLI SQ4 V6 || GCC || FREE ACCIDENT || HIGHEST CATEGORY || LOW MILEAGE,"ALHOOT MOTORS DEALS WITH GCC CARS ONLY! Inclusive • 1 Free Service • 1 Detailing & Car Care • 1 Year Free Insurance (FOR CASH DEALS ONLY) Best Masarati Ghibli in UAE - Highest Category - Recently Serviced - Mechanical Issue Free - 4 New Condition Tires - Original Keys - Full Service - Guaranteed Accident Free - Clean & Neat Inside/Outside - Single Owner - Major Service Done ----------------------------------------------- We are Open Saturday to Thursday from 9:00am to 10pm | Friday from 4:00pm to 10pm ----------------------------------------------- For more details, please contact us directly +971561800013 ----------------------------------------------- Address: Souq Al Haraj, Showroom 58, Along Mohammad Bin Zayed Road, Sharjah, United Arab Emirates Find us on Google Maps ""ALHOOT MOTORS"" https://maps.app.goo.gl/9DwNFydePrRXmt7b6 ----------------------------------------------- Selling Your Car to Us: We accept GCC cars for trade in, our team will be more than happy to help. ----------------------------------------------- Follow us on our Social Media Pages الحوت موتورز - ALHoot Motors https://shorturl.at/JLPX7 Instagram: @alhoot.motors https://shorturl.at/bLQS4 Tiktok: @alhoot.motors https://shorturl.at/exL35 ----------------------------------------------- We do Bank Finance also - Employed - Self-Employed - Company ----------------------------------------------- ""DON'T DREAM IT, DRIVE IT with ALHOOT MOTORS""",https://dbz-images.dubizzle.com/images/2024/01/29/48426f8591004708b1ba1c50b6bca89d-.jpeg?imwidth=800,,,,,
40,2024,mercedes-benz,gls-class,gls 450,Mercedes-Benz AMG GLS450 SUV | New Facelift | GCC | 5 Years Gargash Auto Warranty Service Cont,"Mercedes-Benz GLS450 SUV, New Facelift, GCC Specs, 2024 Model, 21"" Alloy Wheels, 5 Years Gargash Auto Warranty and 3 Years Service Contract *** Special Offer *** -- 5 Years Gargash Auto Warranty and 3 Years Service Contract -- Free Registration -- 3rd Party Insurance -- Free Tinting -- 2 Years Road Assistance -- Full Ceramic Coating AMG body styling package 3.0L turbocharged inline-6 engine EQ Boost mild-hybrid technology 4MATIC all-wheel drive 9G-TRONIC automatic transmission AIRMATIC air suspension AMG alloy wheels Panoramic sunroof LED Intelligent Light System MBUX infotainment system Dual 12.3-inch digital displays Voice control system Apple CarPlay & Android Auto Wireless charging Navigation system Burmester® surround sound system Ambient interior lighting Leather upholstery Heated & ventilated front seats Power adjustable seats with memory 7-seat configuration EASY-ENTRY third-row access Four-zone climate control Adaptive cruise control Lane keeping assist Blind spot monitoring 360-degree camera Parking assist Head-up display Keyless entry & push start Power tailgate Off-road driving modes Transparent bonnet view Front & rear parking sensors Soft-close doors **Bank Finance Option Available. After 8PM Dubai (GMT+4) message us on WHATSAPP for further details. Call or WhatsApp us for more info. +971503003137 +971568186033 +971507414157 +971522023445 FOLLOW US SO YOU’LL NEVER MISS AN UPDATE: Instagram - Facebook: laithalobaidiae VISIT OUR DUBAI SHOWROOMS: Ras Al Khor Auto Market Showroom #: 9 Ras Al Khor Auto Market Showroom #: 59 Ducamz Showroom #: 378 LAITH AL OBAIDI MOTORS www.alobaidi-cars.com >> Laith Al Obaidi Motors We have +55 years of experience in automotive dealership started on Iraq since 1968 then Extend our branches to Jordan and UAE, and we have our customer tr",https://dbz-images.dubizzle.com/images/2024/07/29/527c04b427554aeb9a89a2e6bc063ebd-.jpeg?impolicy=dpv,,,suv,automatic,hybrid
41,2021,nissan,xterra,other,2021 Xterra 4x4 - GCC - FSH - Original KM and paint,"GCC Specs 4x4 Dubai Registration 2 Original Keys 1 Owner Original Paint FSH Screen with reverse Camera No faults, No accidents, No Flood",https://dbz-images.dubizzle.com/images/2024/08/03/51a3c67fe00e435c8b64988dbfd704e5-.jpeg?impolicy=dpv,,,,,
42,2019,rolls-royce,ghost,black badge,2019 | Rolls Royce | Ghost | Black Badge | AGMC | Service Contract | 4 buttons starlights!,"A decade of experience in Luxury car selling and buying. Every model for sale has been delivered to the highest level of quality standards. DESCRIPTION • Car Name: Rolls Royce Ghost Black Badge • Spec: GCC • Mileage: 23,900 Kms • Last Service: 18/05/2026 or 23,895 Kms (AGMC) • Next Service: 18/05/2027 • Service Contract: 28/08/2028 (AGMC) This 2019 Rolls Royce Ghost Black Badge is available exclusively for sale at CV Auto! It comes with a Service Contract! Contact us now! as this will not be available for too long. CONTACT US Office: +971 4394 0068 Sales: +971 58 543 8686 Sales: +971 50 848 4841 To find out more about Who We Are & to view our latest collection Check out our website: www.cvauto.ae We welcome you to visit our showroom — open 7 days a week: * Monday to Saturday: 10 AM – 9 PM * Sunday: 12 PM - 6 PM You can also stay connected with us on Instagram: Instagram-CV Auto Facebook: Facebook-CV Auto LinkedIn: LinkedIn-CV Auto Twitter: Twitter-CV Auto Pinterest: Pinterest-CV Auto #cvauto #cvautomobile #dubaisupercars #luxurycars #cardealershipsindubai #cardealerships #usedcarsindubai #dubizzlecars #dubailuxurycardealers #usedsupercarsdubai #exoticcarsdubai #luxurycarsdubai #sportscars #usedcars #dubizzlecvauto",https://dbz-images.dubizzle.com/images/2023/12/06/ddf4e31e046342ceb766d889a75db619-.jpeg?impolicy=dpv,,,,,
43,2006,hummer,h3,other,HUMMER 2006 FULL OPTION G.C.C IN EXCELLENT CONDITION,"Neat and clean in perfect condition model 2006 g.c.c specifications full option with leather seats,electric seats,sunroof in excellent condition",https://dbz-images.dubizzle.com/images/2024/02/01/65975aa2808643c19e345862c10bad98-.jpeg?impolicy=dpv,,,,,
44,2019,land rover,range rover sport,hse,Land Rover Range Rover Sport 2019 GCC | Warranty,"Payment plans through bank finance: • AED 2,816.00 monthly for 5 years with 10% Down-Payment • AED 2,503.00 monthly for 5 years with 20% Down-Payment • AED 159,750.00 in cash For Sale: 2019 Land Rover Range Rover Sport HSE Discover luxury and performance with this 2019 Range Rover Sport HSE. Powered by a robust 3.0 L V6 petrol engine delivering 335 hp, this SUV ensures an exhilarating drive each time. Key Features: • Year: 2019 • Mileage: 102,000 km • Transmission: 8-speed Automatic AWD • Seating Capacity: 5 • Rim Size: 16″ • Condition: Good This GCC spec vehicle comes with unbeatable value, offering comfort and elegance in every journey. With warranty and flexible down-payment options available, owning this SUV has never been easier. Don't miss out on the opportunity to drive away in this exceptional Range Rover Sport. Equipment: • Rim size 16″ Payment Methods: • Cash • Cryptocurrency • Bank financing (cars from 2018 and above) • In-house financing DD ID: 4598-BACYY",https://dbz-images.dubizzle.com/images/2024/04/03/ac4471939e6c414c8b43191e4ac9ba8a-.jpeg?imwidth=800,159750.0,102000.0,suv,automatic,petrol
45,2022,mercedes-benz,e-class,e 350,E 350 1 year warranty very good condition,1 year warranty Very good condition Full options,https://dbz-images.dubizzle.com/images/2024/05/10/09f055faba824fb59b902c9c8e6c4d75-.jpeg?impolicy=dpv,,,,,
46,2009,mercedes-benz,slr,mclaren roadster,"2009 MERCEDES SLR MCLAREN ROADSTER GCC DONE ONLY 12,000km","2009 MERCEDES SLR MCLAREN ROADSTER GCC DONE ONLY 12,000km About us: Welcome to Al Qalam Motors! Our showroom is located in the heart of Dubai’s automobile trading, Sheikh Zayed road . At Al Qalam Motors we hold a distinguished inventory of the leading luxury and super sports cars as well as UAE’s favorite brands and models. Please feel free to stop by our showroom any time to speak to one of our experienced sales representatives, or check our up to date inventory online. Selling your car? Are you looking to sell your car, or trade it in for something new? Please don’t hesitate to contact us Our Services : -Trade in your car- RTA approved – A warranty can be arranged – A service contract can be arranged – Finance can be arranged - Insurance can be arranged Al Qalam Motors l QMotors ""Your Destination to True Luxury • Luxurious Automative Wholesaler • Specialized in New and Pre-owned Luxury Cars • Buy, Sell, and Trade-In""",https://dbz-images.dubizzle.com/images/2024/05/27/d6c90e7075494cac98d8d715f8c16649-.jpeg?impolicy=dpv,,12000.0,,,
47,2017,maserati,levante,s,2017 | Maserati | Levante | S | GCC Spec,"A decade of experience in Luxury car selling and buying. Every model for sale has been delivered to the highest level of quality standards. DESCRIPTION • Car Name: Maserati Levante S • Spec: GCC • Mileage: 122,090 Kms • Last Service: 22/08/2023 or 104,700 Kms (ABD) • Next Service: 22/08/2024 or 114,700 Kms This 2017 Maserati Levante S is a real head-turner and is available exclusively for sale at CV Auto! Contact us now! as this will not be available for too long. CONTACT US • Office: +971 4394 0068 • Sales: +971 58 543 8686 • Sales: +971 50 848 4841 To find out more about Who We Are & to view our latest collection Check out our website: www.cvauto.ae We welcome you to visit our showroom — open 7 days a week: • Monday to Saturday: 10 AM – 9 PM • Sunday: 12 PM - 6 PM You can also stay connected with us on Instagram: Instagram-CV Auto Facebook: Facebook-CV Auto LinkedIn: LinkedIn-CV Auto Twitter: Twitter-CV Auto Pinterest: Pinterest-CV Auto #cvauto #cvautomobile #dubaisupercars #luxurycars #cardealershipsindubai #cardealerships #usedcarsindubai #dubizzlecars #dubailuxurycardealers #usedsupercarsdubai #exoticcarsdubai #luxurycarsdubai #sportscars #usedcars #dubizzlecvauto",https://dbz-images.dubizzle.com/images/2024/07/09/54f33d00ff9b40e1ac392b25874024f8-.jpeg?impolicy=dpv,,122090.0,,,
48,2010,mitsubishi,pajero,gls,Mitsubshi pajero 2010 white color GCC Calen car,Pajero 2010 white color GCC Calen car,https://dbz-images.dubizzle.com/images/2024/08/11/5886151ccd6143d8997cbb2f2de342fb-.jpeg?impolicy=dpv,,,,,
49,2022,lamborghini,aventador,other,LAMBORGHINI ULTIMAE ROADSTER / GCC / 500 KM ONLY,"2022 LAMBORGHINI ULTIMAE ROADSTER GCC 500 KM ONLY The Lamborghini Aventador Ultimae is the final iteration of the iconic Aventador lineup, celebrating a decade of the model’s production. Here’s a detailed description of the car, including its engine specifications: Overview The Aventador Ultimae embodies the pinnacle of Lamborghini's engineering and design prowess. It merges the aggressive styling and performance of the Aventador with cutting-edge technology, providing an exhilarating driving experience. Design Exterior: The Ultimae features sharp lines and an aerodynamic silhouette, emphasizing its aggressive stance. The front fascia includes a prominent front splitter and large air intakes, while the rear boasts a striking rear wing and dual exhaust outlets. The car is available in a variety of striking colors, often accentuated with unique accents. Interior The cockpit is driver-focused, featuring a blend of luxury and sportiness. High-quality materials such as leather and Alcantara are used throughout, with options for customizable finishes. The digital dashboard provides critical performance data, while an advanced infotainment system keeps the driver connected. Engine Specifications Engine Type: 6.5-liter V12 Power Output: 770 hp (573 kW) at 8,500 rpm Torque: 720 Nm (531 lb-ft) at 6,750 rpm Transmission: 7-speed ISR (Independent Shifting Rod) automated manual transmission Drivetrain: All-wheel drive (AWD) 0-60 mph: Approximately 2.8 seconds Top Speed: Around 221 mph (356 km/h) Performance Features Chassis: The Ultimae features a lightweight carbon fiber monocoque structure, enhancing rigidity and reducing weight. Suspension: Adaptive suspension with Lamborghini's Dynamic Steering system allows for precise handling and responsiveness. Brakes: Carbon-ceramic brake system ensures excellent stopping power and performance under high stress. Technology Driving Modes: Offers multiple driving modes, including Strada,",https://dbz-images.dubizzle.com/images/2024/09/23/fa9026372dad4cc4af37f5828ee21aca-.jpeg?impolicy=dpv,,500.0,,manual,
50,2003,mercedes-benz,e-class,e 240,BENZ E240 | V6 | CLEAN CAR FRESH JAPAN IMPORT,"• Mercedes Benz E240 • Year Of the Model - 2003 • Black Interior • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mr Faisal : +971 54 3069554 • Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E ••••••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/21/ec16871821e04f1d89d088018f677cc7-.jpeg?impolicy=dpv,,,,,
51,2004,mercedes-benz,e-class,e 320,BENZ E320 | 2004 | CLEAN CAR | JAPAN IMPORT,"• Mercedes Benz E320 • Year Of the Model - 2004 • Black Interior • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/royalmotors4810?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Royal Motors FZCO Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mr Faisal : +971 54 3069554 • Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E •••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/21/be84ebf79fd34926883b9433998ea7bc-.jpeg?impolicy=dpv,,,,,
52,2015,mercedes-benz,s-class,s 63 amg 4matic,BENZ S63 | AMG | 2014 | CLEAN CAR | FRESH JAPAN IMPORT,"• Mercedes Benz S63 AMG • Year Of the Model - 2014 • Black Interior • Dynamic Seats • Cooling Seats • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Ayaz Wazir : +971 54 3069550 • Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Flexible finance and insurance options . • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E",https://dbz-images.dubizzle.com/images/2024/11/21/c6450516405b4dfeb166571e0138839a-.jpeg?impolicy=dpv,,,,,
53,2014,ford,explorer,xlt,FORD EXPLORER XLT - 2014 - CLEAN CAR FRESH JAPAN IMPORT,"* Ford Explorer XLT * Year Of the Model - 2014 * Interior Black * Low Mileage * Japan Imported * Recently Arrived * Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• * Mr.Faisal : +971 54 3069554 * Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) * Flexible finance and insurance options . * Expert sales and after-sales support . * Car registration assistance . ( Insurance - Registration ) . * Export deals and services available . * we can deliver the car to any where on U.A.E •••••••••••••••••••••••••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/22/0d01180651024645bd91264145f8edfa-.jpeg?impolicy=dpv,,,,,
54,2025,kaiyi,x7,other,Kaiyi X7 7 Seats 1.6 Turbo 2025 0KM Silver Color,"Kaiyi X7 2025 1.6L / 7 Seats Brand New 0 KM with warranty 5 years or 150k, bank finance available Please contact us: 0555571227 0555581228",https://dbz-images.dubizzle.com/images/2024/11/23/48a6c2b06de54f448e29f99f2967844c-.jpeg?impolicy=dpv,,0.0,,,
55,2012,ford,explorer,xlt,FORD EXPLORER XLT - 2012 - CLEAN CAR FRESH JAPAN IMPORT,"• Ford Explorer XLT • Year Of the Model - 2012 • Interior Beige • Low Mileage • Japan Imported • Recently Arrived • Neat & Clean Car ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Follow Us On Instagram For More Luxury Cars, Just Click on the Link. https://instagram.com/mirzaautomobilefze?utm_medium=copy_link ••••••••••••••••••••••••••••••••••••••••••••••••••••••• We have Direct access more then 160 Auctions in Japan. We can buy any type or any Model of the car by your Special Order, So if you are Looking for Any type of the Car, Contact with Us or visit Our Showroom Mirza Automobile FZE, ••••••••••••••••••••••••••••••••••••••••••••••••••••••• About Us : A name you can trust, Welcome to Mirza Automobile FZE, We've been in the auto industry for 16 years in UAE, and 30 years in Japan. ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Contact us : ( Mob / Whatsapp ) • Mr Faisal : +971 54 306 9554 • Mirza Faizan Baig : +971 50 8685237 ••••••••••••••••••••••••••••••••••••••••••••••••••••••• Our Service : ( VIP ) • Expert sales and after-sales support . • Car registration assistance . ( Insurance - Registration ) . • Export deals and services available . • we can deliver the car to any where on U.A.E ••••••••••••••••••••••••••••",https://dbz-images.dubizzle.com/images/2024/11/25/65956b69eb804f8d8418650eb6620374-.jpeg?impolicy=dpv,,,,,
56,2022,bmw,3-series,320i,BMW 320i,"BMW 320 i MYD 2022 Only 27000 KM Korean specifications Two agency keys Completely free of paint, accidents and scratches Number one in specifications and its category is ready high does not need a dirham For more information and details, please visit the showroom in Al Aweer Auto Market. 4MATIC MOTORS",https://dbz-images.dubizzle.com/images/2024/12/11/5cd6049a67454c01bee776d13d900193-.jpeg?impolicy=dpv,,27000.0,,,
57,2016,mclaren,675lt,spider,MCLAREN 675LT SPIDER SOLIS YELLOW 2016 FULL CARBON EXCELLENT CONDITION,"This Pre-owned McLAREN 675 LT-SPIDER 2016 is now available at Luxury Lounge car showroom, along Sheikh Zayed Road Dubai UAE. With Special shade of Yellow exterior and black interior. Full carbon and the car like brand new. The 675 LT Spider is one of the most complete supercars on sale . It doesn't feel any slower or less capable than the standard coupe model, and open-top driving allows you to better appreciate the noise made by McLaren's twin-turbo V8. Features & Specs List: - CARBON EXTERIOR & INTERIOR - Carbon Ceramic Brakes & Yellow Brake Pads - 20/21 Inch Wheels from (1221) - Keyless Start - Front Lift System - Drive Mode - PDC Front and Rear Camera - Auto LED Headlights - Auto Climate Control - Full Alcantara Sport Seats in Black - Alcantara Package - Multi-Functional Carbon Steering Wheel - MERIDIAN Surround Soundsystem - Navigation - Bluetooth (Audio & Telephone) - Apple Car Play/ Android - And Much More... Our services: *Finance options available on leading Bank with competitive rates and 0% down payment *Trade in available *Shipping worldwide available *Excellent condition *Expert sales *Registration for free -------------------------------------------------------------------------- Car available in Dubai Sheikh Zayed Road (Luxury Lounge L.L.C, AC01 Building Shop No.3, Al Quoz Branch Building) For detailed information please contact +971505600508 -------------------------------------------------------------------------- Follow us for more information on: INSTAGRAM : LUXURY.LOUNGE https://www.instagram.com/luxury.lounge",https://dbz-images.dubizzle.com/images/2024/10/09/5d0249d18ea448369eee50d164ba1fbb-.jpeg?impolicy=dpv,,,coupe,,
58,2009,bentley,brooklands,standard,2009 Bentley Brooklands | Perfect Condition | 6.75L V8,"CAR INFO: 2009 Bentley Brooklands | Perfect Condition | 6.75L V8 2009 Model 58,465 KMs Call Our Sales Team Now! Fisal: +971 55 333 3373 Mohamed El Hussein: +971 56 560 5656 Hassan: +971 55 655 5568 Hamido: +971 52 726 5443 Mamdooh: +971 50 117 7000 Ahmed Abdullah: +971 52 720 9143 Showroom Landline: TEL: +971 4 333 3444 LOCATION: Sheikh Zayed Road, Exit 45 Beside Oasis Center Al Quoz 1, Dubai UAE https://g.page/autodealsdubai?gm About Us: Auto Deals, a leading luxury car dealership in Dubai for over a decade, offers a wide range of new and pre-owned luxury vehicles at competitive prices. With expertise in luxury brands, we provide personalized service to meet our clients' needs. Our partnerships with global brands ensure access to the latest high-end models. We also offer Vehicle Trade-in and Trade for Cash services, making it easy for clients to upgrade or maximize their investment. Our focus is on delivering an exceptional customer experience from start to finish. BUY | SELL | TRADE-IN | CONSIGNMENT",https://dbz-images.dubizzle.com/images/2024/10/15/6b09634c21104385bcd536ecfade3089-.jpeg?impolicy=dpv,,58465.0,,,petrol
59,2014,mini,countryman,cooper s,Urgent mini countryman S model 2014 GCC panorama very clean,Gulf car Full option Panorama 4 weal Very clean Like new,https://dbz-images.dubizzle.com/images/2024/11/07/342772cdbf5546e5b05ddc68217bf582-.jpeg?impolicy=dpv,,,,,
60,2019,volkswagen,beetle,s,2019-Volkswagen Beetle -2.0L-4 Cyl-Excellent Condition,2019-Volkswagen Beetle -2.0L-4 Cyl -Excellent Condition -American Spec -36000 km -Well Maintained Price # 32000 Aed Service we provide: * Assistance in registration test * Assistance in finding best insurance quotes * Assistance in registration * Arranging bank finance facility For More Details Please Call/WhatsApp : 0502996663/0558880268 Buy-Sell-Trade in-Service-All in One -——-AUTO BANK————-,https://dbz-images.dubizzle.com/images/2024/11/10/bf896408cf9d41ec982bebc46c019de0-.jpeg?impolicy=dpv,32000.0,36000.0,,,
61,2018,toyota,camry,le,TOYOTA CAMRY 2018,"Toyota Camry 2018 Le USA Space 2018 BLUE 2500 Cc 4 Cylinder 169859 Km 36,999 AED",https://dbz-images.dubizzle.com/images/2024/11/14/85b73ef8f2f84e0eaccffaaa6a038454-.jpeg?impolicy=dpv,36999.0,169859.0,,,
